date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:08	157568/157568	---MCZ	200	added ('OK')	text/html	etag:%22a49b4ayeyz1t56%22	https://www.dominos.com/menu/specialty/S_PIZCZ/wisconsin_6cheese	C:/Aali/dominos/www.dominos.com/menu/specialty/S_PIZCZ/wisconsin_6cheese.html	(from https://www.dominos.com/menu/specialty)
18:52:11	157548/157548	---MCZ	200	added ('OK')	text/html	etag:%227u7f8shpo1t4p%22	https://www.dominos.com/menu/specialty/S_PISPF/spinach_feta	C:/Aali/dominos/www.dominos.com/menu/specialty/S_PISPF/spinach_feta.html	(from https://www.dominos.com/menu/specialty)
18:52:11	227221/227221	---MCZ	200	added ('OK')	text/html	etag:%22v8urbl9gjc38dx%22	https://www.dominos.com/en/menu/bread	C:/Aali/dominos/www.dominos.com/en/menu/bread.html	(from https://www.dominos.com/menu/bread)
18:52:14	227164/227164	---MCZ	200	added ('OK')	text/html	etag:%22v69odmmvhs38bx%22	https://www.dominos.com/menu/bread?type=order_delivery	C:/Aali/dominos/www.dominos.com/menu/bread32f4.html	(from https://www.dominos.com/menu/bread)
18:52:16	227153/227153	---MCZ	200	added ('OK')	text/html	etag:%22ifobrmoqrd38bq%22	https://www.dominos.com/menu/bread?type=order_carryout	C:/Aali/dominos/www.dominos.com/menu/bread0e22.html	(from https://www.dominos.com/menu/bread)
18:52:17	85402/85402	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Sep%202025%2012:36:07%20GMT	https://www.dominos.com/cms/assets/05ac6651-8c64-4fd7-865c-35e6c6e2c0c6?modified_on=2025-07-16T15%3A29%3A05.292Z&im=Resize%3D%28258%2C258%29%3BCrop%2Crect%3D%2838%2C18%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/05ac6651-8c64-4fd7-865c-35e6c6e2c0c6b6f7.png	(from https://www.dominos.com/menu/bread)
18:52:19	67408/67408	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Sep%202025%2013:29:21%20GMT	https://www.dominos.com/cms/assets/cb9e8272-fd8f-4e01-ac04-4fb2e84c74b8?modified_on=2025-06-17T13%3A53%3A59.580Z&im=Resize%3D%28258%2C258%29%3BCrop%2Crect%3D%2838%2C18%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/cb9e8272-fd8f-4e01-ac04-4fb2e84c74b83584.png	(from https://www.dominos.com/menu/bread)
18:52:19	157527/157527	---MCZ	200	added ('OK')	text/html	etag:%22iowjuafz7k1t4d%22	https://www.dominos.com/menu/bread/F_PBITES/parmesan_bread_bites	C:/Aali/dominos/www.dominos.com/menu/bread/F_PBITES/parmesan_bread_bites.html	(from https://www.dominos.com/menu/bread)
18:52:22	68951/68951	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Aug%202025%2012:08:02%20GMT	https://www.dominos.com/cms/assets/1542fbb0-1ac5-4ca7-9337-ac9ff570894d?modified_on=2025-08-18T17%3A34%3A02.373Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/1542fbb0-1ac5-4ca7-9337-ac9ff570894db23e.png	(from https://www.dominos.com/menu/bread)
18:52:22	157525/157525	---MCZ	200	added ('OK')	text/html	etag:%22whmpdrioas1t49%22	https://www.dominos.com/menu/bread/F_GBITES/garlic_bread_bites	C:/Aali/dominos/www.dominos.com/menu/bread/F_GBITES/garlic_bread_bites.html	(from https://www.dominos.com/menu/bread)
18:52:24	157519/157519	---MCZ	200	added ('OK')	text/html	etag:%224aml86geco1t45%22	https://www.dominos.com/menu/bread/F_SCBRD/stuffed_cheesy_bread	C:/Aali/dominos/www.dominos.com/menu/bread/F_SCBRD/stuffed_cheesy_bread.html	(from https://www.dominos.com/menu/bread)
